[Lexema: 'single' dec: false Tipo: String Ambito:Nulo
, Lexema: '_var1' dec: true Tipo: single Ambito:@main
, Lexema: ',' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: 'if' dec: false Tipo: String Ambito:Nulo
, Lexema: '(' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: '0.2' dec: false Tipo: single Ambito:Nulo
, Lexema: '=' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: '0.3' dec: false Tipo: single Ambito:Nulo
, Lexema: ')' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: '{' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: '_var1' dec: true Tipo: single Ambito:@main
, Lexema: ':=' dec: false Tipo: Operador Ambito:Nulo
, Lexema: '0.2' dec: false Tipo: single Ambito:Nulo
, Lexema: ',' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: '_var1' dec: true Tipo: single Ambito:@main
, Lexema: ':=' dec: false Tipo: Operador Ambito:Nulo
, Lexema: '0.3' dec: false Tipo: single Ambito:Nulo
, Lexema: ',' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: '}' dec: false Tipo: Caracter Ambito:Nulo
, Lexema: 'endif' dec: false Tipo: String Ambito:Nulo
, Lexema: 'single' dec: false Tipo: String Ambito:Nulo
, Lexema: '_var2' dec: true Tipo: single Ambito:@main
, Lexema: ',' dec: false Tipo: Caracter Ambito:Nulo
]
